indicacao;produto
recuperação_profissional fibra_capilar;Queratina - Keradvance
cabelo couro_cabeludo;Bicaphil - Tribus
fragilizados ressecados quimicamente_processados;Pó Descolorante
Pré-quimica pós-química;7em1 BB Cream Hair
cabelo fragilizados sem_brilho;Keratin
tratamento manutenção correção cabelos_loiros;Blondine
todos_os_tipos_de_cabelo;Natus 100% Vegano
controle_de_ondas redução_de_volume frizz;Selantox
baixo_crescimento quebradiços oleosos;Detox Bambu
alisamento todos_os_tipos_de_cabelo;Liss Evolution
enfraquecidos emborachados elásticos sem_vida;P!NG
cabelo corpo barba Compatível todos_os_tipos_de_cabelo;Soul Man
fragilizados ressecados quimicamente_processados;Ojon+7
descoloridos coloridos opacos baixo_nível_de_nutrientes;Monoï
cabelo fragilizados frizz;Super Argan
cacheados ondulados crespos;Yes, Cachos!
Limpeza_profunda pré_química;Equilibrium Ice
Tonalização fragilizados sensíveis alérgicos_a_amônia.;Glico+ Hair
cabelos oleosos frágeis;Erva Doce
cabelos coloridos sensibilizados;ColorTech
coloração alta_pigmentação todo_tipo_de_cabelo;Coloração Profissional Minas Color
cabelos quimicamente_processados ressecados sem_vida;Coconut Mix Oils
cabelos fragilizados frizz;Resgat
controle_de_ondas redução_de_volume frizz;Control Gel
cabelos principalmente danificados porosos.;Pantenovil A
mistos oleosos couro_cabeludo sensível;Bio K-Tech
fragilizados envelhecimento_natural processos químicos;Ourotox
Coloração alta_pigmentação todo_tipo_de_cabelo;Cartela Virtual
